qd1,qd2,phrase1,phrase2,label
3635,3636,to try to prevent his back from locking and his leg from going dead it was his habit to get up and walk around two or three times during a meal and so after the main course and before dessert axler stood and for the second time strolled through the restaurant and across the inn is public sitting room and into the bar,there he saw an attractive young woman drinking by herself,routh
3637,3638,she must have been in her twenties and from the way she was talking to the bartender he could tell she was a little drunk,he smiled when she looked his way and so as to prolong his stay he asked the bartender if he knew the ball score,routh
3639,3640,then he asked her if she was local or staying at the inn,she said she had just taken a job at the antique shop down the road and had stopped in after work for a drink,routh
3641,3642,he asked if she knew anything about antiques and she said her parents owned an antique shop farther upstate,she had been working at a shop in greenwich village for three years and had decided to get away from the city and try her luck in washington county,routh
3643,3644,he asked how long she had been out here and she said she had arrived only the month before,he asked what she was drinking and when she told him he said next one is on me and indicated to the bartender that he should put the drink on his tab,routh
3645,3646,when dessert arrived he said to pegeen there is a girl at the bar getting drunk,what does she look like,routh
3647,3648,like she can take care of herself,you want to,routh
3649,3650,if you do he said,how old is she,routh
3651,3652,she said,i had say twentyeight,routh
3653,3654,you had be in charge,you and the green cock,routh
3655,3656,you had be in charge she said to him,you and the real cock,routh
3657,3658,we had be in charge together he said,i want to see her she said,routh
3659,3660,he paid the bill and they left the restaurant and went to stand in the doorway of the bar,he stood behind pegeen with his arms encircling her,routh
3661,3662,he could feel her trembling with excitement as she watched the girl drinking at the bar,her trembling thrilled him,routh
3663,3664,it was as though they had merged into one maniacally tempted being,you like her,routh
3665,3666,he whispered,she looks as if she could be quite indecent given half a chance,routh
3667,3668,she looks like she is ready for a life of crime,you want to take her home,routh
3669,3670,she is not lara but she had do,what if she vomits in the car,routh
3671,3672,you think she is about to,she is been at it a long time,routh
3673,3674,when she passes out at the house how do we get rid of her,murder her pegeen said,routh
3675,3676,while still closely holding pegeen in front of him he called across the bar do you need a ride young lady,tracy,routh
3677,3678,do you need a ride tracy,i have got my car tracy replied,routh
3679,3680,are you in any shape to drive it,i can drop you off at home,routh
3681,3682,pegeen was still quivering in his arms,she is a cat he thought before the cat pounces the falcon before it soars from the falconer is wrist,routh
3683,3684,the animal you can controluntil you let it loose,he thought i am providing her tracy the way i give her the clothes,routh
3685,3686,everyone felt emboldened with lara because there was no lara there and so no consequences,this he knew to be different,routh
3687,3688,it dawned on him that he was ceding all the power to pegeen,i can get my husband to pick me up tracy said,routh
3689,3690,he had noticed earlier that she wore no wedding ring,no let us drive you,routh
3691,3692,where do you want to go,tracy mentioned a town twelve miles to the west,routh
3693,3694,the bartender who knew axler lived in the opposite direction went about his job as if he were a deafmute,because of axler is movies practically everyone in the rural town of nine hundred knew who he was though few had any idea that his reputation rested on his lifetime is achievement on the stage,routh
3695,3696,the drunken young woman paid her bill and climbed off the stool and grabbed her jacket to leave,she was taller than he had imagined and larger tooa stray perhaps but no waifa buxom blond with an extensive body and a kind of readymade nordic prettiness,routh
3697,3698,in all a coarser commonplace version of stately louise,he put tracy in the back seat with pegeen and drove them along the dark country roads empty of traffic to his house,routh
3699,3700,it was as though they were abducting her,the swiftness with which pegeen moved did not take him by surprise,routh
3701,3702,she was not constrained by inhibition or fear as she had been when she had gotten her haircut and he was already enthralled merely by what he could hear from the back of the car,in the bedroom at home pegeen emptied onto the bed her plastic bag of implements among them the toylike catoninetails with its very soft thin wisps of black unknotted leather,routh
3703,3704,axler wondered what was going on in tracy is mind,she gets into a car with two people she is never seen before they drive her to a house on a dirt road deep in the country and then she steps out of the car into a threering circus,routh
3705,3706,she may be drunk but she is also young,how oblivious to risk can she be,routh
3707,3708,or do pegeen and i inspire trust,or is risk what tracy is looking for,routh
3709,3710,or is she too drunk to care,he wondered if she had ever done anything like this before,routh
3711,3712,he wondered again why she was doing it now,it did not make sense that this tracy should fall into their laps to do all of the laralike stuff they had been dreaming excitedly about in bed,routh
3713,3714,though what did make sense,his being unable to go out and act on a stage,routh
3715,3716,his having been a psychiatric inpatient,his conducting a love affair with a lesbian whom he had first seen nursing at her mother is breast,routh
3717,3718,when a man gets two women together it is not unusual for one of the women rightly or wrongly feeling neglected to wind up crying in a corner of the room,from how this was going so far it looked as though the one who had wind up crying in the corner would be him,routh
3719,3720,yet as he watched from the far side of the bed he did not feel painfully overlooked,he had let pegeen appoint herself ringmaster and would not participate until summoned,routh
3721,3722,he would watch without interfering,first pegeen stepped into the contraption adjusted and secured the leather straps and affixed the dildo so that it jutted straight out,routh
3723,3724,then she crouched above tracy brushing tracy is lips and nipples with her mouth and fondling her breasts and then she slid down a ways and gently penetrated tracy with the dildo,pegeen did not have to force her open,routh
3725,3726,she did not have to say a wordhe imagined that if either one of them did begin to speak it would be in a language unrecognizable to him,the green cock plunged in and out of the abundant naked body sprawled beneath it slow at first then faster and harder then harder still and all of tracy is curves and hollows moved in unison with it,routh
3727,3728,this was not soft porn,this was no longer two unclothed women caressing and kissing on a bed,routh
3729,3730,there was something primitive about it now this womanonwoman violence as though in the room filled with shadows pegeen were a magical composite of shaman acrobat and animal,it was as if she were wearing a mask on her genitals a weird totem mask that made her into what she was not and was not supposed to be,routh
3731,3732,she could as well have been a crow or a coyote while simultaneously pegeen mike,there was something dangerous about it,routh
3733,3734,his heart thumped with excitementthe god pan looking on from a distance with his spying lascivious gaze,it was english that pegeen spoke when she looked over from where she was now resting on her back beside tracy combing the little black catoninetails through tracy is long hair and with that kidlike smile that showed her two front teeth said to him softly your turn,routh
3735,3736,defile her,she took tracy by one shoulder whispered time to change masters and gently rolled the stranger is large warm body toward his,routh
3737,3738,three children got together he said and decided to put on a play whereupon his performance began,around midnight they drove tracy back to the lot beside the inn where she had left her car,routh
3739,3740,you two do this often,tracy asked from the back seat where she lay encircled by pegeen is arms,routh
3741,3742,no pegeen said,do you,routh
3743,3744,never in my life,so what do you think,routh
3745,3746,asked pegeen,i ca not think,routh
3747,3748,my head is too crammed with everything to think,i feel tripped out,routh
3749,3750,i feel like i have taken drugs,where did you get the bravado for this,routh
3751,3752,pegeen asked her,the booze,routh
3753,3754,your clothes,the way you looked,routh
3755,3756,i thought i have nothing to fear,tell me is he that actor,routh
3757,3758,tracy asked pegeen as though he were not in the car,he is pegeen said,routh
3759,3760,that is what the bartender said,are you an actress,routh
3761,3762,she asked pegeen,off and on pegeen said,routh
3763,3764,it was crazy tracy said,it was pegeen replied the wielder of the catoninetails and connoisseur of the dildo who was herself no dabbler who had indeed carried things to the limit,routh
3765,3766,tracy kissed pegeen passionately when they said goodnight,passionately pegeen returned the kiss and stroked her hair and clutched her breasts and in the parking lot beside the inn where they had all met the two momentarily clung together,routh
3767,3768,then tracy got into her car and before she drove off he heard pegeen tell her see you soon,they drove home with pegeen is hand down in his pants,routh
3769,3770,the smell she said it is on us while axler thought i miscalculatedi did not think it through,he was the god pan no longer,routh
3771,3772,far from it,while pegeen showered he sat downstairs in the kitchen and had a cup of tea as if nothing had happened as if another ordinary night had been passed at home,routh
3773,3774,the tea the cup the saucer the sugar the creamall answered a need for the matteroffact,i want to have a child,routh
3775,3776,he imagined pegeen speaking those words,he imagined her telling him when she came into the kitchen after the shower i want to have a child,routh
3777,3778,he was imagining the least likely thing that might happen which was why he was imagining it he was out to force his foolhardiness back into a domestic container,with whom,routh
3779,3780,he imagined himself asking her,with you,routh
3781,3782,you are the choice of my life,as your family has duly warned you i am closing in on seventy,routh
3783,3784,when the child is ten i will be seventyfive seventysix,by then i may not be your choice,routh
3785,3786,i will be in a wheelchair with this spine of mine if not already dead,forget about my family he imagined her saying,routh
3787,3788,i want you to be the father of my child,are you going to keep this a secret from asa and carol,routh
3789,3790,no,all that is over,routh
3791,3792,you were right,louise did me a favor with that phone call,routh
3793,3794,no more secrecy,they will have to live with things as they are,routh
3795,3796,and where did this desire come from to mother a child,from becoming what i have become for you,routh
3797,3798,he imagined himself saying who could have foreseen this evening taking this turn,not at all he imagined pegeen replying,routh
3799,3800,it is the next step,if we are to continue i want three things,routh
3801,3802,i want you to have back surgery,i want you to resume your career,routh
3803,3804,i want you to impregnate me,you want a lot,routh
3805,3806,who taught me to want a lot,he imagined her saying,routh
3807,3808,that is my proposal for a real life,what more can i offer,routh
3809,3810,back surgery is very tricky,the doctors i have seen say it would do no good in my case,routh
3811,3812,you ca not go on locked up with that pain,you ca not go on hobbling around forever,routh
3813,3814,and my career is trickier still,no he imagined her saying it is a matter of adopting a plan to end the uncertainty,routh
3815,3816,a bold longterm plan,that is all that is required he imagined himself answering,routh
3817,3818,yes,it is time to be bold with yourself,routh
3819,3820,if anything it sounds like it is time to be cautious,but because in her company he had begun to be rejuvenated because he had done everything in his power to get himself to believe that she who had begun by offering him a glass of wateronly to go from there to pulling off the feat of feats the sexchange actcould indeed make contentment real with him he thought the most hopeful thoughts he could,routh
3821,3822,in this kitchen reverie of the rectified life he imagined himself seeing an orthopedist who sent him for an mri and after that for a presurgical myelogram and after that for surgery,meanwhile he would have contacted jerry oppenheim and told him that if anyone wanted to offer him a role he was available to work again,routh
3823,3824,then still at the kitchen table exciting himself by elaborating these thoughts while pegeen finished showering upstairs he imagined pegeen having a healthy baby the very month that he opened at the guthrie theater in the role of james tyrone,he would have found vincent daniels is card where he had left it as a bookmark in the copy of long day is journey,routh
3825,3826,he would have gone to see vincent daniels with the script and they would have worked together every day until they found the way to get him to stop distrusting himself so that when he went onstage at the guthrie on opening night the lost magic returned and he knew while the words were flying so naturally so effortlessly out of his mouth that he was in the midst of a performance as good as any he had ever given and that maybe being incapacitated for so long however painful had not been the worst thing that could have happened,now the audience believed him anew in every moment,routh
3827,3828,where previously confronting the scariest part of actingthe line saying something saying something spontaneously with freedom and easehe had felt himself naked without the protection of any approach now everything was once again emanating from instinct and he needed no other means of approach,the stretch of bad luck was over,routh
3829,3830,the selfinflicted torment was over,he had recovered his confidence the grief was displaced the abominable fear was dispelled and everything that had fled him was back where it belonged,routh
3831,3832,the reconstruction of a life had to begin somewhere and for him it had started with falling for pegeen stapleford amazingly just the woman to have recruited for the job,it seemed to him now that the kitchen scenario was no longer the aery tale with which he had begun but that he was imagining a new possibility a reclamation of exuberance that it was his intention to fight for and to implement and to enjoy,routh
3833,3834,axler felt the determination that was originally his when he came to new york to audition at the age of twentytwo,the next morning as soon as pegeen had left to drive back to vermont he called a hospital in new york and asked for a doctor with whom he could consult about the genetic hazards of fathering a child at sixtyfive,routh
3835,3836,he was referred to the office of a specialist and given an appointment for the following week,he said nothing about any of this to pegeen,routh
3837,3838,the hospital was far uptown and after parking the car in a garage he made his way with mounting excitement to the doctor is office,he was given the usual medical forms to fill out and then greeted by a filipino man of about thirtyfive who said he was dr,routh
3839,3840,wan is assistant,there was a windowed room off the waiting area and the assistant led him there so that they could be alone,routh
3841,3842,it seemed a room designed to be used by children with low tables and small chairs scattered about and children is drawings pinned to one wall,the two of them sat at one of the tables and the assistant began to ask him about himself and his family and the diseases they had suffered from and the diseases they had died of,routh
3843,3844,the doctor is assistant recorded the answers on a sheet of paper printed with the skeleton of a family tree,axler told him as much as he knew from as far back as his knowledge of the family extended,routh
3845,3846,then the assistant took a second sheet and asked about the family of the prospective mother,axler could tell him only that pegeen is parents were both living he knew nothing about their medical histories or those of pegeen is aunts uncles grandparents and greatgrandparents,routh
3847,3848,the assistant asked for her family is country of origin as he had asked for axler is and having recorded the information told axler that he would give all the data to dr,wan and that after he and the doctor had conferred she would come out to talk to axler,routh
3849,3850,alone in the room axler felt ecstatic with the return of his force and his naturalness and the abandonment of his humiliation and the end of his disappearance from the world,this was not reverie any longer the revitalization of simon axler was truly under way,routh
3851,3852,and under way in this room full of children is furniture of all places,the scale of the furniture reminded him of the art therapy session at hammerton when he and sybil van buren had been given crayons and paper in order to draw pictures for their therapist,routh
3853,3854,he remembered how he had obediently set to coloring with the crayons like the child he had once been in kindergarten class,he remembered the mortifying consequences of having ended up in hammerton how every trace of assuredness had vanished he remembered how all he found to deliver him from a pervasive sense of defeat and dread was the conversation that he listened to in the rec room after dinner the stories of those among the hospitalized infatuated still with how they had tried to kill themselves,routh
3855,3856,now however a huge man sitting awkwardly amid these little tables and chairs he was at one with the actor conscious of the achievement behind him and convinced that life could begin again,dr,routh
3857,3858,wan was a small slender young woman who said that she would of course need pegeen is history too but that she could begin at least to address his fears about birth defects in the offspring of aging fathers,she told him that although the ideal age for men to father children is their twenties and although the risk of passing on genetic vulnerability or developmental disorders like autism is significantly increased after forty and although older men had more sperm with damaged dna than younger men the odds of fathering normal offspring without birth defects were not necessarily dire for a man of his age and health especially as some though not all birth defects could be detected during pregnancy,routh
3859,3860,the testicular cells that give rise to sperm divide every sixteen days dr,wan explained to him while they sat across from each other at the little table,routh
3861,3862,this means that the cells have split about eight hundred times by age fifty,and with each cell division the chance increases for errors in the sperm is dna,routh
3863,3864,once pegeen had provided her with the other half of the story she could more fully evaluate their situation and work with them together should they wish to proceed further,she gave him her card along with a pamphlet that spelled out in detail the nature and risk of birth defects,routh
3865,3866,she also explained that there might be decreased fertility at his age and so at his request she provided him with a referral to a laboratory to have a sperm analysis,that way they could determine if there was likely to be any difficulty with conception,routh
3867,3868,there can be a problem she told him of sperm count of motility or morphology,i understand he said and to express an uncontrollable sense of gratitude reached out to clutch her hand,routh
3869,3870,the doctor smiled at him as if she were the older of the two and said call me if you have questions,back at home he had an enormous urge to phone pegeen and tell her of the great idea that had taken hold of him and what he had done about it,routh
3871,3872,but that conversation would have to wait until they were together the following weekend and had hours and hours to talk,alone in bed that night he read the pamphlet dr,routh
3873,3874,wan had given him,it takes healthy sperm to make a healthy baby,routh
3875,3876,about 2 to 3 percent of all babies are born with a major birth defect,more than 20 rare but devastating genetic disorders have been linked to aging fathers,routh
3877,3878,the older a man is when he conceives a child the more likely his partner is to miscarry,older fathers are more likely to have children with autism schizophrenia and down syndrome,routh
3879,3880,he went through the pamphlet once and then again and sobering as he found the information mindful as he now was of the risks he would not be dissuaded from his plans by what he read,instead too excited to sleep thinking something wonderful was happening he found himself down in the living room further enlivened by listening to music and along with feelings of fearlessness such as he had not known for years experiencing the deep biological longing for a child that is more commonly associated with a woman than with a man,routh
3881,3882,nothing about their being together seemed improbable any longer,she had to go with him to see dr,routh
3883,3884,wan,once everyone had the whole story the two of them would soberly assess what should come next,routh
3885,3886,he had planned to begin the conversation after dinner on friday evening,but when pegeen arrived for the weekend late friday afternoon she went off to her study with a slew of student exams to mark and left it to him to make dinner,routh
3887,3888,and after dinner she withdrew again to the study to grade more exams,he thought let her get everything done now,routh
3889,3890,then we will have the weekend to talk,in bed in the darktwo weeks to the day after the tryst with tracywhen he began to kiss and to fondle pegeen she pulled away and said my heart is not in it tonight,routh
3891,3892,all right he said and unable to arouse her rolled over to his side but without relinquishing her hand which he held on to with his own handthe hand that still wanted to touch everythinguntil she had fallen asleep,when he awakened in the middle of the night he wondered what did it mean that her heart was not in it why had she been so unwilling to be near him from the moment she had arrived,routh
3893,3894,he found out first thing the next morning before he even had a chance to begin to tell her about his meeting with dr,wan and all that lay behind that meeting and all that potentially lay ahead of them he found out that in going to see dr,routh
3895,3896,wan he had not so much educated himself in order to avoid doing something rash as to dig himself deeper into an unreal world,this is the end she said to axler at the breakfast table,routh
3897,3898,each was seated across from the other in the very chairs as when she had told him in months gone by that they had already taken the risk,end of what,routh
3899,3900,he asked,of this,routh
3901,3902,but why,it is not what i want,routh
3903,3904,i made a mistake,so began the end as abruptly as that and it concluded some thirty minutes later with pegeen at the front door clutching her full duffle bag and axler in tears,routh
3905,3906,this was the very antithesis of his expectations that night in the kitchen two weeks back,the very antithesis of his expectations when he had gone to see dr,routh
3907,3908,wan,everything he wanted she was preventing him from having,routh
3909,3910,and she was crying now as well it was not as easy to pull off as it had seemed in the first moment at the kitchen table,but still she would not be budged and however much he wept she remained silent,routh
3911,3912,the picture she made at the front door back in her boy is zippered red jacket and holding her duffle bag expressed it all this form of hardship she could endure,she was not about to sit down over a cup of coffee and have a hearttoheart talk that would lead to a rapprochement,routh
3913,3914,she wanted only to be free of him and to satisfy the common enough human wish to move on and try something else,you cannot nullify everything,routh
3915,3916,he shouted angrily and with that pegeen the mightier of the two opened the door,at last she spoke sobbing,routh
3917,3918,i tried to be perfect for you,what the hell does that mean,routh
3919,3920,was it ever a matter of being perfect,hado not pull away from me,routh
3921,3922,i love this and i do not want it to stop,i was idiot enough to believe what you said,routh
3923,3924,i was idiot enough to think you were doing what you wanted to do,it was what i wanted to do,routh
3925,3926,i wanted so much to see if i could do it,so it was an experiment right down to the end,routh
3927,3928,another adventure for pegeen mikelike picking up a pitcher on a softball team,i ca not be a substitute for your acting anymore,routh
3929,3930,oh do not pull that,that is disgusting,routh
3931,3932,but it is true,i am what you have instead of that,routh
3933,3934,i am supposed to make up for that,that is the most ludicrous bullshit i have ever heard,routh
3935,3936,and you know it,go pegeen,routh
3937,3938,if that is your vindication go,we took the risk,routh
3939,3940,i took the risk,you just said whatever you thought i wanted to hear so that you could get what you wanted as long as you wanted it,routh
3941,3942,i did no such thing,she cried,routh
3943,3944,it is tracy is not it,what is,routh
3945,3946,you are dumping me for tracy,i am not simon,routh
3947,3948,no,you are not leaving me because i do not have a job,routh
3949,3950,you are leaving me for that girl,you are going to that girl,routh
3951,3952,where i go is my business,oh just let me go,routh
3953,3954,who is holding you back,not me,routh
3955,3956,never,he pointed at the duffle bag into which she had crammed all the new clothes of hers that had been hanging in his closets and folded in his bureau drawers,routh
3957,3958,pack your sex toys,he asked,routh
3959,3960,remember your harness,she did not answer but the emotion flashing through her was hatred or so he understood the look in her eyes,routh
3961,3962,yes he said take the tools of your trade and go,now your parents can sleep at nightyou are no longer with an old man,routh
3963,3964,now there is no interloper between you and your father,you are unburdened of your impediment,routh
3965,3966,no more admonitions from home,safely returned to your original position,routh
3967,3968,good,go on to the next one,routh
3969,3970,i never had the strength for you anyway,a man is way is laid with a multitude of traps and pegeen had been the last,routh
3971,3972,he had stepped hungrily into it and taken the bait like the most craven captive on earth,there was no other way for it to wind up and yet he was the last to find out,routh
3973,3974,improbable,no predictable,routh
3975,3976,abandoned after so long,clearly not so long for her as for him,routh
3977,3978,everything enchanting about her was gone and in the time it had taken her to say this is the end he was condemned to his hole with the six sticks alone and emptied of the desire to live,she left in her car and the process of collapse took less than five minutes a collapse from a fall brought on himself and from which there was now no recovery,routh
3979,3980,he went up to the attic and sat there for a whole day and well into the night preparing to pull the trigger of his shotgun and intermittently ready to rush down the stairs and wake jerry oppenheim at home ready to call hammerton and speak to his doctor ready to dial 911,and at a dozen different moments throughout the day ready to call lansing and tell asa what a treacherous son of a bitch he was to have turned pegeen against him,routh
3981,3982,that was how it had happened he was sure,pegeen had been right all along to want to keep the news of their affair from her family,routh
3983,3984,because they have known you so long she had explained to him when he had asked why she preferred to keep him a secret,because you are all the same age,routh
3985,3986,had he made the trip to michigan when he first suggested to pegeen his going out there to talk to asa he might perhaps have had a chance to win,but to phone asa now would accomplish nothing,routh
3987,3988,pegeen was gone,gone to tracy,routh
3989,3990,gone to lara,gone to the pitcher with the ponytail,routh
3991,3992,wherever she was he no longer had to worry about the genetic hazards of being an aging father with testicular cells that had already divided well over eight hundred times,by dinnertime he could restrain himself no longer and carrying the gun with him he came down from the attic to the phone,routh
3993,3994,carol answered,it is simon axler,routh
3995,3996,why yes,hello simon,routh
3997,3998,let me speak to asa,his voice was trembling and his heartbeat had quickened,routh
3999,4000,he had to sit in a kitchen chair to continue,it was very like the way he had felt in washington the last time he had tried to go out on a stage to perform,routh
4001,4002,he lay flat on the brown pineneedled floor of the forest his chin on his folded arms and high overhead the wind blewin the tops of the pine trees,the mountain side sloped gently where he lay but belowit was steep and he could see the dark of the oiled road winding through the pass,hemingway
4003,4004,there was a stream alongside the road and far down the pass he sawa mill beside the stream and the falling water of the dam white in the summer sunlight,is that the mill,hemingway
4005,4006,he asked,yes,hemingway
4007,4008,i do not remember it,it was built since you were here,hemingway
4009,4010,the old mill is farther down much belowthe pass,he spread the photostated military map out on the forest floor and looked at it carefully,hemingway
4011,4012,the old man looked over his shoulder,he was a short and solid old man in a black peasants smock and gray ironstiff trousers and he wore ropesoled shoes,hemingway
4013,4014,he was breathing heavily from the climb and his hand rested on one of the two heavy packs they had been carrying,then you cannot see the bridge from here,hemingway
4015,4016,no the old man said,this is the easy country of the pass where the stream flows gently,hemingway
4017,4018,below where the road turns out of sight in the trees it drops suddenly and there is a steep gorge i remember,across this gorge is the bridge,hemingway
4019,4020,and where are their posts,there is a post at the mill that you see there,hemingway
4021,4022,the young man who was studying the country took his glasses from the pocket of his faded khaki flannel shirt wiped the lenses with a handkerchief screwed the eyepieces around until the boards of the mill showed suddenly clearly and he sawthe wooden bench beside the door the huge pile of sawdust that rose behind the open shed where the circular sawwas and a stretch of the flume that brought the logs down from the mountainside on the other bank of the stream,the stream showed clear and smoothlooking in the glasses and belowthe curl of the falling water the spray from the dam was blowing in the wind,hemingway
4023,4024,there is no sentry,there is smoke coming from the millhouse the old man said,hemingway
4025,4026,there are also clothes hanging on a line,i see them but i do not see any sentry,hemingway
4027,4028,perhaps he is in the shade the old man explained,it is hot there now,hemingway
4029,4030,he would be in the shadowat the end we do not see,probably,hemingway
4031,4032,where is the next post,belowthe bridge,hemingway
4033,4034,it is at the roadmenders hut at kilometer five from the top of the pass,howmany men are here,hemingway
4035,4036,he pointed at the mill,perhaps four and a corporal,hemingway
4037,4038,and below,more,hemingway
4039,4040,i will find out,and at the bridge,hemingway
4041,4042,always two,one at each end,hemingway
4043,4044,we will need a certain number of men he said,howmany men can you get,hemingway
4045,4046,i can bring as many men as you wish the old man said,there are many men nowhere in the hills,hemingway
4047,4048,howmany,there are more than a hundred,hemingway
4049,4050,but they are in small bands,howmany men will you need,hemingway
4051,4052,i will let you knowwhen we have studied the bridge,do you wish to study it now,hemingway
4053,4054,no,nowi wish to go to where we will hide this explosive until it is time,hemingway
4055,4056,i would like to have it hidden in utmost security at a distance no greater than half an hour from the bridge if that is possible,that is simple the old man said,hemingway
4057,4058,from where we are going it will all be downhill to the bridge,but nowwe must climb a little in seriousness to get there,hemingway
4059,4060,are you hungry,yes the young man said,hemingway
4061,4062,but we will eat later,howare you called,hemingway
4063,4064,i have forgotten,it was a bad sign to him that he had forgotten,hemingway
4065,4066,anselmo the old man said,i am called anselmo and i come from barco de avila,hemingway
4067,4068,let me help you with that pack,the young man who was tall and thin with sun streaked fair hair and a wind and sunburned face who wore the sunfaded flannel shirt a pair of peasants trousers and ropesoled shoes leaned over put his arm through one of the leather pack straps and swung the heavy pack up onto his shoulders,hemingway
4069,4070,he worked his arm through the other strap and settled the weight of the pack against his back,his shirt was still wet from where the pack had rested,hemingway
4071,4072,i have it up now he said,howdo we go,hemingway
4073,4074,we climb anselmo said,bending under the weight of the packs sweating they climbed steadily in the pine forest that covered the mountainside,hemingway
4075,4076,there was no trail that the young man could see but they were working up and around the face of the mountain and nowthey crossed a small stream and the old man went steadily on ahead up the edge of the rocky stream bed,the climbing nowwas steeper and more difficult until finally the stream seemed to drop down over the edge of a smooth granite ledge that rose above them and the old man waited at the foot of the ledge for the young man to come up to him,hemingway
4077,4078,howare you making it,all right the young man said,hemingway
4079,4080,he was sweating heavily and his thigh muscles were twitchy from the steepness of the climb,wait here nowfor me,hemingway
4081,4082,i go ahead to warn them,you do not want to be shot at carrying that stuff,hemingway
4083,4084,not even in a joke the young man said,is it far,hemingway
4085,4086,it is very close,howdo they call thee,hemingway
4087,4088,roberto the young man answered,he had slipped the pack off and lowered it gently down between two boulders by the stream bed,hemingway
4089,4090,wait here then roberto and i will return for you,good the young man said,hemingway
4091,4092,but do you plan to go down this way to the bridge,no,hemingway
4093,4094,when we go to the bridge it will be by another way,shorter and easier,hemingway
4095,4096,i do not want this material to be stored too far from the bridge,you will see,hemingway
4097,4098,if you are not satisfied we will take another place,we will see the young man said,hemingway
4099,4100,he sat by the packs and watched the old man climb the ledge,it was not hard to climb and from the way he found handholds without searching for them the young man could see that he had climbed it many times before,hemingway
4101,4102,yet whoever was above had been very careful not to leave any trail,the young man whose name was robert jordan was extremely hungry and he was worried,hemingway
4103,4104,he was often hungry but he was not usually worried because he did not give any importance to what happened to himself and he knewfrom experience howsimple it was to move behind the enemy lines in all this country,it was as simple to move behind them as it was to cross through them if you had a good guide,hemingway
4105,4106,it was only giving importance to what happened to you if you were caught that made it difficult that and deciding whom to trust,you had to trust the people you worked with completely or not at all and you had to make decisions about the trusting,hemingway
4107,4108,he was not worried about any of that,but there were other things,hemingway
4109,4110,this anselmo had been a good guide and he could travel wonderfully in the mountains,robert jordan could walk well enough himself and he knewfrom following him since before daylight that the old man could walk him to death,hemingway
4111,4112,robert jordan trusted the man anselmo so far in everything except judgment,he had not yet had an opportunity to test his judgment and anyway the judgment was his own responsibility,hemingway
4113,4114,no he did not worry about anselmo and the problem of the bridge was no more difficult than many other problems,he knewhowto blowany sort of bridge that you could name and he had blown them of all sizes and constructions,hemingway
4115,4116,there was enough explosive and all equipment in the two packs to blowthis bridge properly even if it were twice as big as anselmo reported it as he remembered it when he had walked over it on his way to la granja on a walking trip in 1933 and as golz had read him the description of it night before last in that upstairs room in the house outside of the escorial,to blowthe bridge is nothing golz had said the lamplight on his scarred shaved head pointing with a pencil on the big map,hemingway
4117,4118,you understand,yes i understand,hemingway
4119,4120,absolutely nothing,merely to blowthe bridge is a failure,hemingway
4121,4122,yes comrade general,to blowthe bridge at a stated hour based on the time set for the attack is howit should be done,hemingway
4123,4124,you see that naturally,that is your right and howit should be done,hemingway
4125,4126,golz looked at the pencil then tapped his teeth with it,robert jordan had said nothing,hemingway
4127,4128,you understand that is your right and howit should be done golz went on looking at him and nodding his head,he tapped on the map nowwith the pencil,hemingway
4129,4130,that is howi should do it,that is what we cannot have,hemingway
4131,4132,why comrade general,why,hemingway
4133,4134,golz said angrily,howmany attacks have you seen and you ask me why,hemingway
4135,4136,what is to guarantee that my orders are not changed,what is to guarantee that the attack is not annulled,hemingway
4137,4138,what is to guarantee that the attack is not postponed,what is to guarantee that it starts within six hours of when it should start,hemingway
4139,4140,has any attack ever been as it should,it will start on time if it is your attack robert jordan said,hemingway
4141,4142,they are never my attacks golz said,i make them,hemingway
4143,4144,but they are not mine,the artillery is not mine,hemingway
4145,4146,i must put in for it,i have never been given what i ask for even when they have it to give,hemingway
4147,4148,that is the least of it,there are other things,hemingway
4149,4150,you knowhowthose people are,it is not necessary to go into all of it,hemingway
4151,4152,always there is something,always some one will interfere,hemingway
4153,4154,so nowbe sure you understand,so when is the bridge to be blown,hemingway
4155,4156,robert jordan had asked,after the attack starts,hemingway
4157,4158,as soon as the attack has started and not before,so that no reinforcements will come up over that road,hemingway
4159,4160,he pointed with his pencil,i must knowthat nothing will come up over that road,hemingway
4161,4162,and when is the attack,i will tell you,hemingway
4163,4164,but you are to use the date and hour only as an indication of a probability,you must be ready for that time,hemingway
4165,4166,you will blowthe bridge after the attack has started,you see,hemingway
4167,4168,he indicated with the pencil,that is the only road on which they can bring up reinforcements,hemingway
4169,4170,that is the only road on which they can get up tanks or artillery or even move a truck toward the pass which i attack,i must knowthat bridge is gone,hemingway
4171,4172,not before so it can be repaired if the attack is postponed,no,hemingway
4173,4174,it must go when the attack starts and i must knowit is gone,there are only two sentries,hemingway
4175,4176,the man who will go with you has just come from there,he is a very reliable man they say,hemingway
4177,4178,you will see,he has people in the mountains,hemingway
4179,4180,get as many men as you need,use as fewas possible but use enough,hemingway
4181,4182,i do not have to tell you these things,and howdo i determine that the attack has started,hemingway
4183,4184,it is to be made with a full division,there will be an aerial bombardment as preparation,hemingway
4185,4186,you are not deaf are you,then i may take it that when the planes unload the attack has started,hemingway
4187,4188,you could not always take it like that golz said and shook his head,but in this case you may,hemingway
4189,4190,it is my attack,i understand it robert jordan had said,hemingway
4191,4192,i do not say i like it very much,neither do i like it very much,hemingway
